time,heartRate
13:34:57,98
13:35:02,97
13:35:07,96
13:35:22,96
13:35:27,95
13:35:32,94
13:35:47,94
13:35:52,95
13:36:07,94
13:36:12,96
13:36:17,95
13:36:27,96
13:36:37,96
13:36:47,94
13:36:52,93
13:36:57,91
13:37:02,90
13:37:12,91
13:37:17,92
13:37:27,91
13:37:32,89
13:37:37,87
13:37:47,85
13:37:52,84
13:38:07,84
13:38:12,81
13:38:27,83
13:38:32,85
13:38:42,84
13:38:52,83
13:38:57,81
13:39:02,80
13:39:07,79
13:39:17,78
13:39:22,77
13:39:27,76
13:39:42,76
13:39:57,75
13:40:02,75
13:40:12,75
13:40:27,76
13:40:32,76
13:40:42,77
13:40:47,79
13:40:57,78
13:41:07,77
13:41:22,82
13:41:27,84
13:41:32,85
13:41:42,84
13:41:52,85
13:42:02,83
13:42:12,84
13:42:22,85
13:42:27,84
13:42:32,83
13:42:47,84
13:42:52,85
13:43:02,84
13:43:12,85
13:43:22,86
13:43:27,87
13:43:37,88
13:43:42,87
13:43:47,84
13:43:52,83
13:44:02,82
13:44:17,83
13:44:22,83
13:44:27,84
13:44:32,85
13:44:37,87
13:44:42,89
13:44:47,91
13:44:52,92
13:44:57,94
13:45:12,94
13:45:17,93
13:45:22,94
13:45:32,95
13:45:47,93
13:45:52,92
13:45:57,89
13:46:02,87
13:46:07,85
13:46:12,86
13:46:17,87
13:46:22,88
13:46:27,92
13:46:33,98
13:46:34,99
13:46:35,100
13:46:40,100
13:46:50,101
13:46:55,102
13:47:00,100
13:47:05,101
13:47:10,107
13:47:15,116
13:47:20,124
13:47:25,128
13:47:30,132
13:47:40,128
13:47:45,123
13:47:50,119
13:47:55,116
13:48:00,115
13:48:15,117
13:48:20,113
13:48:25,109
13:48:30,110
13:48:35,111
13:48:45,112
13:48:50,111
13:48:55,113
13:49:05,103
13:49:10,93
13:49:15,94
13:49:20,93
13:49:25,86
13:49:35,83
13:49:40,79
13:49:45,76
13:49:50,75
13:49:55,76
13:50:05,77
13:50:10,79
13:50:15,80
13:50:20,87
13:50:25,91
13:50:30,89
13:50:35,86
13:50:40,83
13:50:45,82
13:50:50,81
13:51:00,80
13:51:05,79
13:51:10,80
13:51:25,81
13:51:35,80
13:51:40,78
13:51:50,77
13:51:55,78
13:52:00,79
13:52:05,80
13:52:10,81
13:52:15,81
13:52:20,82
13:52:25,83
13:52:35,82
13:52:50,81
13:52:55,80
13:53:00,79
13:53:10,77
13:53:15,75
13:53:20,68
13:53:25,69
13:53:40,70
13:53:50,72
13:54:00,71
13:54:05,74
13:54:10,72
13:54:15,73
13:54:20,74
13:54:30,75
13:54:40,77
13:54:45,79
13:55:00,77
13:55:05,81
13:55:10,80
13:55:15,78
13:55:20,77
13:55:30,76
13:55:40,77
13:55:45,78
13:55:50,80
13:55:55,82
13:56:10,82
13:56:15,81
13:56:20,81
13:56:30,82
13:56:35,81
13:56:50,80
13:56:55,79
13:57:00,75
13:57:05,73
13:57:15,73
13:57:25,74
13:57:35,73
13:57:40,74
13:57:45,75
13:58:00,73
13:58:05,71
13:58:10,70
13:58:15,71
13:58:25,72
13:58:30,71
13:58:35,70
13:58:40,69
13:58:50,68
13:58:55,67
13:59:00,66
13:59:05,65
13:59:10,65
13:59:15,66
13:59:20,67
13:59:35,68
13:59:40,70
13:59:45,73
13:59:50,72
13:59:55,71
14:00:05,78
14:00:10,84
14:00:20,83
14:00:25,82
14:00:30,81
14:00:45,81
14:00:50,79
14:00:55,75
14:01:00,74
14:01:05,75
14:01:10,74
14:01:15,74
14:01:21,73
14:01:26,71
14:01:36,72
14:01:41,73
14:01:56,72
14:02:01,71
14:02:16,73
14:02:31,73
14:02:36,74
14:02:41,75
14:02:46,74
14:02:51,75
14:02:56,76
14:03:01,77
14:03:06,76
14:03:11,77
14:03:16,78
14:03:21,74
14:03:26,70
14:03:31,67
14:03:36,65
14:03:46,64
14:03:51,65
14:03:56,67
14:04:01,68
14:04:06,69
14:04:16,69
14:04:21,69
14:04:26,70
14:04:31,72
14:04:36,73
14:04:51,74
14:04:56,76
14:05:01,77
14:05:06,74
14:05:11,72
14:05:21,73
14:05:36,74
14:05:41,75
14:05:46,76
14:05:51,75
14:06:01,74
14:06:06,73
14:06:21,71
14:06:31,70
14:06:36,69
14:06:41,69
14:06:56,69
14:07:06,70
14:07:11,71
14:07:16,72
14:07:21,73
14:07:31,71
14:07:36,70
14:07:41,70
14:07:46,71
14:07:51,72
14:07:56,71
14:08:01,69
14:08:06,68
14:08:11,70
14:08:21,71
14:08:26,70
14:08:31,70
14:08:46,70
14:08:56,70
14:09:06,69
14:09:11,68
14:09:21,69
14:09:31,71
14:09:36,77
14:09:46,72
14:10:01,72
14:10:16,72
14:10:31,73
14:10:36,74
14:10:41,75
14:10:46,74
14:11:01,74
14:11:06,75
14:11:11,74
14:11:16,74
14:11:31,74
14:11:46,77
14:11:51,79
14:11:56,80
14:12:11,80
14:12:26,78
14:12:31,72
14:12:36,70
14:12:51,70
14:13:01,66
14:13:06,68
14:13:11,70
14:13:16,71
14:13:21,72
14:13:26,73
14:13:31,74
14:13:36,75
14:13:41,76
14:13:51,77
14:14:01,78
14:14:16,78
14:14:21,77
14:14:31,78
14:14:46,78
14:14:51,77
14:15:06,77
14:15:07,78
14:15:17,77
14:15:27,76
14:15:37,75
14:15:42,74
14:15:57,74
14:16:02,73
14:16:07,70
14:16:22,70
14:16:32,69
14:16:37,68
14:16:42,68
14:16:52,69
14:17:02,70
14:17:07,71
14:17:12,72
14:17:17,73
14:17:27,74
14:17:32,75
14:17:37,76
14:17:42,77
14:17:57,77
14:18:12,79
14:18:17,80
14:18:22,76
14:18:27,75
14:18:32,74
14:18:37,74
14:18:42,73
14:18:47,74
14:18:52,73
14:19:02,71
14:19:07,70
14:19:17,70
14:19:22,71
14:19:27,73
14:19:32,75
14:19:37,75
14:19:47,77
14:19:52,78
14:20:02,74
14:20:07,73
14:20:12,72
14:20:17,73
14:20:27,75
14:20:32,77
14:20:42,75
14:20:47,71
14:20:52,69
14:20:57,71
14:21:02,72
14:21:17,71
14:21:22,72
14:21:37,73
14:21:42,72
14:21:47,71
14:21:52,70
14:21:57,71
14:22:02,72
14:22:07,73
14:22:17,75
14:22:22,76
14:22:27,75
14:22:37,74
14:22:52,74
14:22:57,75
14:23:02,74
14:23:12,75
14:23:22,76
14:23:32,75
14:23:47,75
14:24:02,76
14:24:07,77
14:24:22,77
14:24:32,76
14:24:47,75
14:24:57,76
14:25:07,77
14:25:22,76
14:25:27,74
14:25:32,73
14:25:37,72
14:25:52,71
14:25:57,72
14:26:02,73
14:26:17,73
14:26:32,72
14:26:37,73
14:26:47,72
14:26:57,73
14:27:02,74
14:27:17,74
14:27:22,77
14:27:27,78
14:27:32,81
14:27:37,83
14:27:42,85
14:27:47,86
14:27:52,88
14:27:57,89
14:28:02,91
14:28:12,92
14:28:17,94
14:28:22,96
14:28:27,97
14:28:32,99
14:28:37,101
14:28:43,103
14:28:53,101
14:29:03,103
14:29:08,103
14:29:13,106
14:29:18,104
14:29:23,101
14:29:28,99
14:29:33,98
14:29:38,97
14:29:43,98
14:29:53,98
14:29:58,100
14:30:13,103
14:30:18,109
14:30:23,112
14:30:28,113
14:30:33,112
14:30:38,111
14:30:53,111
14:30:58,109
14:31:03,108
14:31:08,105
14:31:13,102
14:31:18,99
14:31:23,97
14:31:28,95
14:31:33,94
14:31:43,96
14:31:48,97
14:31:53,98
14:31:58,100
14:32:03,99
14:32:13,97
14:32:28,96
14:32:38,97
14:32:43,93
14:32:48,92
14:32:53,93
14:32:58,95
14:33:08,94
14:33:13,92
14:33:18,91
14:33:23,90
14:33:28,89
14:33:43,90
14:33:48,91
14:33:53,90
14:34:03,91
14:34:08,92
14:34:13,93
14:34:28,93
14:34:33,87
14:34:38,83
14:34:43,84
14:34:53,83
14:34:58,88
14:35:03,92
14:35:08,93
14:35:13,91
14:35:23,90
14:35:28,89
14:35:38,88
14:35:53,87
14:35:58,86
14:36:13,86
14:36:28,86
14:36:43,86
14:36:48,87
14:36:53,89
14:36:58,88
14:37:03,87
14:37:08,86
14:37:23,87
14:37:33,88
14:37:43,89
14:37:48,92
14:37:53,94
14:38:03,96
14:38:18,100
14:38:23,101
14:38:28,95
14:38:33,88
14:38:38,95
14:38:53,96
14:38:58,98
14:39:03,100
14:39:08,99
14:39:13,98
14:39:18,96
14:39:23,97
14:39:28,99
14:39:33,98
14:39:38,98
14:39:43,96
14:39:48,95
14:39:53,94
14:39:58,92
14:40:13,93
14:40:23,91
14:40:28,90
14:40:33,89
14:40:38,88
14:40:43,88
14:40:48,90
14:40:53,88
14:40:58,86
14:41:03,82
14:41:08,83
14:41:13,84
14:41:18,86
14:41:23,83
14:41:28,72
14:41:33,72
14:41:43,73
14:41:48,74
14:41:53,75
